"","topvars.value","topvars.pvalue"
"dem",0.191952374264602,2.34211006384655e-05
"p2hv",0.161140576568429,0.000428208807263797
"p2hhrhv",-0.158267750461761,0.000543279768323801
"p2hvrhh",0.158267750461761,0.000543279768323801
"l8b",-0.150716888695338,0.000936626076353475
"l8bminSVVI",-0.151865765638246,0.000854773551854926
"l8sw125min",-0.1721642311586,0.00015280684093133
"l8sw1min",-0.156608813167522,0.000582049124201678
"l8sw225min",-0.15412931362417,0.0007125153542058
"l8gmean",-0.151777973207253,0.000860786980405148
